score,episode_length
0,52
0,131
0,131
1,251
0,137
1,255
0,131
0,131
0,131
0,131
0,112
0,107
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,81
0,81
0,76
0,81
0,76
0,81
0,81
1,172
0,143
0,138
0,86
0,131
0,86
0,86
0,123
0,111
0,86
0,81
0,99
0,117
0,140
0,131
0,131
0,131
0,131
0,131
2,287
0,142
0,139
1,251
0,140
0,131
2,371
1,251
0,131
0,131
0,131
1,251
0,131
1,251
1,251
0,131
0,131
0,131
0,131
0,131
1,202
1,184
1,184
0,131
0,81
0,93
0,81
0,86
0,86
0,86
0,93
0,81
0,86
0,81
0,86
0,86
0,81
0,81
0,86
0,86
0,81
0,86
0,86
0,93
0,86
0,93
0,93
0,86
0,86
0,93
0,86
0,81
0,81
0,76
0,86
0,86
0,86
0,86
0,131
1,219
1,251
0,136
2,371
1,251
0,135
0,131
1,251
0,131
0,131
1,251
0,131
0,131
0,131
0,131
2,371
0,131
0,131
0,144
0,131
0,131
0,131
0,137
0,131
0,131
0,124
0,79
0,131
0,131
0,131
0,111
0,132
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,91
0,131
0,131
0,131
0,131
0,134
0,131
0,131
0,131
0,131
0,131
1,240
1,251
1,178
0,131
0,140
0,131
3,491
0,142
0,141
0,131
0,131
0,131
0,131
2,371
0,131
0,131
0,131
0,131
0,81
0,131
0,105
0,76
0,121
0,76
0,120
0,103
0,129
0,76
0,126
0,126
0,81
0,76
0,76
0,76
0,131
0,113
0,78
0,78
0,129
0,131
0,78
0,99
0,124
0,115
0,79
0,84
0,79
0,79
0,77
0,107
0,108
0,87
0,91
0,113
0,85
0,131
0,124
0,79
0,79
0,121
0,88
0,128
1,251
4,611
1,251
1,251
0,131
0,133
0,133
0,131
0,131
0,131
0,136
0,131
1,251
0,138
0,131
0,132
1,251
0,136
1,251
0,131
0,132
0,100
0,85
0,131
0,79
0,131
0,84
0,84
0,117
0,119
0,78
0,77
0,87
0,98
0,76
0,79
0,78
0,84
0,90
0,81
0,96
0,76
0,79
0,77
0,103
0,79
0,123
0,91
0,93
0,121
0,120
0,118
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,133
0,131
0,131
0,131
0,131
0,131
0,131
1,158
0,131
1,187
1,160
1,173
0,131
0,131
0,137
0,131
0,133
0,81
0,96
0,118
0,110
0,82
0,131
0,77
0,131
0,79
0,131
0,79
0,89
0,89
0,76
0,89
0,84
0,126
0,132
0,108
0,131
0,131
0,131
0,131
0,132
0,131
0,112
0,129
0,125
0,125
0,84
0,131
0,131
0,77
0,131
0,76
0,131
0,76
0,77
0,131
0,131
0,135
0,140
0,131
0,78
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,82
0,76
0,76
0,76
0,76
0,76
0,76
0,81
0,76
0,76
0,91
0,131
0,131
0,131
0,131
0,131
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,105
0,87
0,131
0,111
0,131
0,131
0,131
0,131
0,131
0,77
0,133
0,131
0,131
0,131
0,131
0,131
1,169
0,116
0,96
0,76
0,76
0,94
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,94
0,94
0,76
0,76
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,131
0,85
0,85
0,131
0,84
0,131
0,94
0,76
0,82
0,77
0,77
0,76
0,76
0,76
1,160
0,76
0,76
0,89
0,76
0,76
0,131
0,77
0,131
0,76
0,76
0,131
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,77
0,84
0,76
0,77
0,76
0,77
0,76
0,76
0,76
0,76
0,77
0,131
0,131
0,131
0,131
0,141
0,91
0,76
0,76
0,76
0,84
0,76
0,76
0,76
0,76
0,81
0,78
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,131
1,192
0,131
0,131
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,81
0,76
0,76
0,76
0,76
0,76
0,81
0,76
0,78
0,131
0,144
0,131
0,131
0,131
0,78
0,76
0,131
0,131
0,131
0,131
1,189
0,143
0,81
0,81
0,76
0,76
0,78
0,81
0,78
0,76
0,76
0,76
0,76
0,77
0,76
0,76
0,76
0,76
0,76
0,81
0,81
0,78
0,76
0,76
0,78
0,76
0,78
0,78
0,131
0,93
0,76
0,77
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,76
0,77
0,76
0,77
0,76
0,77
0,76
